96.774: [GC [PSYoungGen: 174368K->128K(174464K)] 176421K->2181K(524032K), 0.0004333 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.086: [GC [PSYoungGen: 174462K->256K(174336K)] 176516K->2309K(523904K), 0.0004662 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.694: [GC [PSYoungGen: 174336K->128K(174400K)] 176389K->2245K(523968K), 0.0006983 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
99.257: [GC [PSYoungGen: 174208K->128K(174464K)] 176325K->2245K(524032K), 0.0005681 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
99.808: [GC [PSYoungGen: 174336K->32K(174464K)] 176453K->2149K(524032K), 0.0005237 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
100.358: [GC [PSYoungGen: 174240K->32K(174464K)] 176357K->2149K(524032K), 0.0004766 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
100.916: [GC [PSYoungGen: 174240K->64K(174464K)] 176357K->2181K(524032K), 0.0004771 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
101.486: [GC [PSYoungGen: 174272K->128K(174464K)] 176389K->2245K(524032K), 0.0005368 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
102.128: [GC [PSYoungGen: 174336K->96K(174464K)] 176453K->2213K(524032K), 0.0005248 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
102.701: [GC [PSYoungGen: 174304K->64K(174464K)] 176421K->2181K(524032K), 0.0005766 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
103.297: [GC [PSYoungGen: 174272K->64K(174464K)] 176389K->2181K(524032K), 0.0004385 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
103.870: [GC [PSYoungGen: 174272K->64K(174464K)] 176389K->2181K(524032K), 0.0005041 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
104.458: [GC [PSYoungGen: 174272K->32K(174464K)] 176389K->2149K(524032K), 0.0005719 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
105.019: [GC [PSYoungGen: 174240K->64K(174528K)] 176357K->2181K(524096K), 0.0004988 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
105.593: [GC [PSYoungGen: 174400K->32K(174528K)] 176517K->2149K(524096K), 0.0005109 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
106.361: [GC [PSYoungGen: 174368K->192K(174400K)] 176485K->2325K(523968K), 0.0004182 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
106.690: [GC [PSYoungGen: 174400K->64K(174464K)] 176533K->2261K(524032K), 0.0004542 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
107.025: [GC [PSYoungGen: 174272K->64K(174464K)] 176469K->2261K(524032K), 0.0004651 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.403: [GC [PSYoungGen: 174272K->96K(174464K)] 176469K->2293K(524032K), 0.0004796 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.768: [GC [PSYoungGen: 174304K->32K(174528K)] 176501K->2229K(524096K), 0.0004494 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.133: [GC [PSYoungGen: 174304K->128K(174464K)] 176501K->2325K(524032K), 0.0004225 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.492: [GC [PSYoungGen: 174400K->96K(174528K)] 176597K->2293K(524096K), 0.0005036 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.867: [GC [PSYoungGen: 174368K->128K(174464K)] 176565K->2325K(524032K), 0.0004736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109.484: [GC [PSYoungGen: 174400K->96K(174528K)] 176597K->2293K(524096K), 0.0005242 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
110.092: [GC [PSYoungGen: 174368K->128K(174464K)] 176565K->2325K(524032K), 0.0004145 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
110.631: [GC [PSYoungGen: 174400K->96K(174528K)] 176597K->2293K(524096K), 0.0006770 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
111.496: [GC [PSYoungGen: 174368K->128K(174464K)] 176565K->2325K(524032K), 0.0004386 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
112.026: [GC [PSYoungGen: 174400K->128K(174528K)] 176597K->2325K(524096K), 0.0004182 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
112.583: [GC [PSYoungGen: 174463K->96K(174528K)] 176661K->2293K(524096K), 0.0004231 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
113.195: [GC [PSYoungGen: 174432K->128K(174528K)] 176629K->2325K(524096K), 0.0005061 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
115.763: [GC [PSYoungGen: 174464K->192K(174528K)] 176661K->2389K(524096K), 0.0005536 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
116.090: [GC [PSYoungGen: 174528K->160K(174400K)] 176725K->2437K(523968K), 0.0005287 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
116.379: [GC [PSYoungGen: 174368K->96K(174464K)] 176645K->2373K(524032K), 0.0005698 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
116.659: [GC [PSYoungGen: 174304K->64K(174464K)] 176581K->2341K(524032K), 0.0004260 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
117.090: [GC [PSYoungGen: 174272K->32K(174464K)] 176549K->2309K(524032K), 0.0005069 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
