66.135: [GC [PSYoungGen: 174176K->343K(174272K)] 175830K->1997K(523840K), 0.0005888 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
66.314: [GC [PSYoungGen: 174167K->380K(174272K)] 175821K->2034K(523840K), 0.0005586 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.490: [GC [PSYoungGen: 174204K->446K(174272K)] 175858K->2100K(523840K), 0.0005896 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
66.667: [GC [PSYoungGen: 174270K->372K(174144K)] 175924K->2026K(523712K), 0.0005349 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.840: [GC [PSYoungGen: 174068K->320K(174208K)] 175722K->1974K(523776K), 0.0007527 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.017: [GC [PSYoungGen: 174016K->345K(174272K)] 175670K->1999K(523840K), 0.0007261 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.199: [GC [PSYoungGen: 174105K->390K(174208K)] 175759K->2045K(523776K), 0.0006087 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.371: [GC [PSYoungGen: 174150K->336K(174272K)] 175804K->1990K(523840K), 0.0006109 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.547: [GC [PSYoungGen: 174160K->352K(174272K)] 175814K->2006K(523840K), 0.0006101 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.727: [GC [PSYoungGen: 174176K->378K(174272K)] 175830K->2032K(523840K), 0.0005900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.921: [GC [PSYoungGen: 174202K->384K(174272K)] 175856K->2038K(523840K), 0.0006835 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
68.113: [GC [PSYoungGen: 174208K->384K(174272K)] 175862K->2038K(523840K), 0.0005725 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.303: [GC [PSYoungGen: 174208K->352K(174272K)] 175862K->2006K(523840K), 0.0005592 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.492: [GC [PSYoungGen: 174176K->322K(174272K)] 175830K->1976K(523840K), 0.0005865 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
68.682: [GC [PSYoungGen: 174146K->371K(174272K)] 175800K->2025K(523840K), 0.0005212 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.871: [GC [PSYoungGen: 174195K->354K(174272K)] 175849K->2008K(523840K), 0.0007046 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
69.064: [GC [PSYoungGen: 174178K->256K(174272K)] 175832K->1910K(523840K), 0.0005356 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
69.264: [GC [PSYoungGen: 174080K->256K(174272K)] 175734K->1998K(523840K), 0.0005839 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
69.464: [GC [PSYoungGen: 174080K->256K(174272K)] 175822K->1998K(523840K), 0.0005356 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
