113.883: [GC [PSYoungGen: 174336K->96K(174464K)] 176533K->2293K(524032K), 0.0004341 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
114.167: [GC [PSYoungGen: 174304K->64K(174464K)] 176501K->2261K(524032K), 0.0004587 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
114.455: [GC [PSYoungGen: 174272K->96K(174464K)] 176469K->2293K(524032K), 0.0005334 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
114.737: [GC [PSYoungGen: 174304K->96K(174464K)] 176501K->2293K(524032K), 0.0006120 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
115.058: [GC [PSYoungGen: 174304K->256K(174464K)] 176501K->2453K(524032K), 0.0004424 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
115.437: [GC [PSYoungGen: 174464K->0K(174464K)] 176661K->2253K(524032K), 0.0004642 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
115.815: [GC [PSYoungGen: 174208K->32K(174464K)] 176461K->2285K(524032K), 0.0004394 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
116.195: [GC [PSYoungGen: 174240K->0K(174464K)] 176493K->2253K(524032K), 0.0004943 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
116.571: [GC [PSYoungGen: 174208K->32K(174464K)] 176461K->2285K(524032K), 0.0005003 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
116.955: [GC [PSYoungGen: 174240K->32K(174464K)] 176493K->2285K(524032K), 0.0004442 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
117.330: [GC [PSYoungGen: 174240K->32K(174464K)] 176493K->2285K(524032K), 0.0005694 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
117.708: [GC [PSYoungGen: 174240K->0K(174464K)] 176493K->2253K(524032K), 0.0004854 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
118.086: [GC [PSYoungGen: 174208K->32K(174464K)] 176461K->2285K(524032K), 0.0004764 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
118.453: [GC [PSYoungGen: 174240K->32K(174464K)] 176493K->2285K(524032K), 0.0004410 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
118.829: [GC [PSYoungGen: 174240K->64K(174464K)] 176493K->2317K(524032K), 0.0004783 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
119.194: [GC [PSYoungGen: 174272K->32K(174528K)] 176525K->2285K(524096K), 0.0004569 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
119.560: [GC [PSYoungGen: 174304K->96K(174464K)] 176557K->2349K(524032K), 0.0004350 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
119.934: [GC [PSYoungGen: 174368K->64K(174528K)] 176621K->2317K(524096K), 0.0004920 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
120.313: [GC [PSYoungGen: 174400K->192K(174528K)] 176653K->2461K(524096K), 0.0003939 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
120.707: [GC [PSYoungGen: 174528K->32K(174400K)] 176797K->2333K(523968K), 0.0004434 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
121.101: [GC [PSYoungGen: 174240K->64K(174464K)] 176541K->2365K(524032K), 0.0004988 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
121.487: [GC [PSYoungGen: 174272K->128K(174464K)] 176573K->2429K(524032K), 0.0004610 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
121.884: [GC [PSYoungGen: 174334K->96K(174464K)] 176635K->2397K(524032K), 0.0004610 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
122.271: [GC [PSYoungGen: 174304K->64K(174528K)] 176605K->2365K(524096K), 0.0005934 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
122.648: [GC [PSYoungGen: 174336K->96K(174464K)] 176637K->2397K(524032K), 0.0004269 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
123.027: [GC [PSYoungGen: 174368K->96K(174528K)] 176669K->2397K(524096K), 0.0004488 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
123.405: [GC [PSYoungGen: 174430K->64K(174528K)] 176732K->2365K(524096K), 0.0004492 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
124.560: [GC [PSYoungGen: 174400K->192K(174400K)] 176701K->2509K(523968K), 0.0004982 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
124.871: [GC [PSYoungGen: 174400K->64K(174464K)] 176717K->2445K(524032K), 0.0004967 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
125.176: [GC [PSYoungGen: 174272K->128K(174464K)] 176653K->2517K(524032K), 0.0006463 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.481: [GC [PSYoungGen: 174336K->64K(174464K)] 176725K->2453K(524032K), 0.0005118 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.790: [GC [PSYoungGen: 174272K->0K(174464K)] 176661K->2389K(524032K), 0.0004464 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
126.116: [GC [PSYoungGen: 174208K->64K(174464K)] 176597K->2453K(524032K), 0.0004440 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
126.418: [GC [PSYoungGen: 174272K->32K(174464K)] 176661K->2421K(524032K), 0.0005338 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
126.744: [GC [PSYoungGen: 174240K->64K(174464K)] 176629K->2453K(524032K), 0.0004836 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
127.055: [GC [PSYoungGen: 174272K->64K(174528K)] 176661K->2453K(524096K), 0.0004295 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
127.362: [GC [PSYoungGen: 174400K->64K(174528K)] 176789K->2453K(524096K), 0.0004609 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
127.665: [GC [PSYoungGen: 174400K->32K(174528K)] 176789K->2421K(524096K), 0.0004891 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
127.966: [GC [PSYoungGen: 174368K->64K(174528K)] 176757K->2453K(524096K), 0.0004664 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
128.275: [GC [PSYoungGen: 174400K->64K(174528K)] 176789K->2453K(524096K), 0.0004913 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
128.606: [GC [PSYoungGen: 174400K->96K(174528K)] 176789K->2485K(524096K), 0.0004956 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
128.927: [GC [PSYoungGen: 174432K->64K(174528K)] 176821K->2453K(524096K), 0.0006067 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
129.237: [GC [PSYoungGen: 174400K->128K(174528K)] 176789K->2517K(524096K), 0.0004189 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
129.543: [GC [PSYoungGen: 174464K->64K(174528K)] 176853K->2453K(524096K), 0.0004631 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
129.850: [GC [PSYoungGen: 174400K->128K(174528K)] 176789K->2517K(524096K), 0.0005446 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
130.156: [GC [PSYoungGen: 174462K->128K(174528K)] 176852K->2517K(524096K), 0.0004793 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
130.474: [GC [PSYoungGen: 174464K->64K(174528K)] 176853K->2453K(524096K), 0.0004775 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
130.784: [GC [PSYoungGen: 174400K->32K(174528K)] 176789K->2421K(524096K), 0.0005569 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
131.097: [GC [PSYoungGen: 174368K->96K(174528K)] 176757K->2485K(524096K), 0.0005512 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
131.423: [GC [PSYoungGen: 174432K->96K(174528K)] 176821K->2485K(524096K), 0.0005405 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
