102.546: [GC [PSYoungGen: 174272K->64K(174464K)] 176377K->2169K(524032K), 0.0005057 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
103.099: [GC [PSYoungGen: 174272K->64K(174464K)] 176377K->2169K(524032K), 0.0004993 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
103.656: [GC [PSYoungGen: 174272K->128K(174464K)] 176377K->2233K(524032K), 0.0004974 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
104.198: [GC [PSYoungGen: 174336K->32K(174464K)] 176441K->2137K(524032K), 0.0005124 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
104.740: [GC [PSYoungGen: 174240K->64K(174528K)] 176345K->2169K(524096K), 0.0004345 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
105.538: [GC [PSYoungGen: 174336K->192K(174464K)] 176441K->2313K(524032K), 0.0005303 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
105.896: [GC [PSYoungGen: 174464K->96K(174464K)] 176585K->2281K(524032K), 0.0004456 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
106.288: [GC [PSYoungGen: 174304K->96K(174464K)] 176489K->2281K(524032K), 0.0004505 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
106.643: [GC [PSYoungGen: 174304K->128K(174464K)] 176489K->2313K(524032K), 0.0004779 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.017: [GC [PSYoungGen: 174336K->64K(174464K)] 176521K->2249K(524032K), 0.0004644 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.382: [GC [PSYoungGen: 174272K->32K(174464K)] 176457K->2217K(524032K), 0.0005776 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.747: [GC [PSYoungGen: 174240K->64K(174464K)] 176425K->2249K(524032K), 0.0004498 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
108.087: [GC [PSYoungGen: 174272K->64K(174528K)] 176457K->2249K(524096K), 0.0004538 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.750: [GC [PSYoungGen: 174336K->32K(174464K)] 176521K->2217K(524032K), 0.0004817 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109.527: [GC [PSYoungGen: 174304K->96K(174528K)] 176489K->2281K(524096K), 0.0005141 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
110.284: [GC [PSYoungGen: 174432K->128K(174528K)] 176617K->2313K(524096K), 0.0006659 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
110.938: [GC [PSYoungGen: 174464K->32K(174528K)] 176649K->2217K(524096K), 0.0004132 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
111.638: [GC [PSYoungGen: 174368K->64K(174528K)] 176553K->2249K(524096K), 0.0005709 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
112.329: [GC [PSYoungGen: 174400K->96K(174528K)] 176585K->2281K(524096K), 0.0005682 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
