41.107: [GC [PSYoungGen: 676832K->11936K(681856K)] 706692K->41876K(2080000K), 0.0303865 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
41.585: [GC [PSYoungGen: 676896K->11936K(682560K)] 706836K->41956K(2080704K), 0.0301814 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
42.071: [GC [PSYoungGen: 677772K->11936K(682304K)] 707793K->42020K(2080448K), 0.0306051 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
42.545: [GC [PSYoungGen: 677792K->11872K(683072K)] 707876K->42044K(2081216K), 0.0305200 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
43.026: [GC [PSYoungGen: 678752K->11936K(682816K)] 708924K->42188K(2080960K), 0.0308713 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
43.505: [GC [PSYoungGen: 678808K->11904K(683520K)] 709060K->42236K(2081664K), 0.0308311 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
43.986: [GC [PSYoungGen: 679680K->11936K(683264K)] 710012K->42332K(2081408K), 0.0316016 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
44.464: [GC [PSYoungGen: 679712K->11936K(683968K)] 710108K->42388K(2082112K), 0.0303962 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
44.943: [GC [PSYoungGen: 680591K->12000K(683712K)] 711043K->42516K(2081856K), 0.0307592 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
45.423: [GC [PSYoungGen: 680672K->11968K(684288K)] 711188K->42556K(2082432K), 0.0311484 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
45.912: [GC [PSYoungGen: 681344K->12032K(684096K)] 711932K->42692K(2082240K), 0.0309116 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
46.396: [GC [PSYoungGen: 681408K->12032K(684608K)] 712068K->42764K(2082752K), 0.0307602 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
46.877: [GC [PSYoungGen: 682048K->11968K(684416K)] 712780K->42780K(2082560K), 0.0313226 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
47.359: [GC [PSYoungGen: 681984K->11968K(684928K)] 712796K->42852K(2083072K), 0.0307734 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
47.846: [GC [PSYoungGen: 682624K->12000K(684736K)] 713508K->42948K(2082880K), 0.0317236 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
48.332: [GC [PSYoungGen: 682656K->12000K(685184K)] 713604K->43036K(2083328K), 0.0310186 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
48.810: [GC [PSYoungGen: 683232K->11968K(685056K)] 714268K->43076K(2083200K), 0.0313438 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
49.290: [GC [PSYoungGen: 683200K->12000K(685440K)] 714308K->43172K(2083584K), 0.0316575 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
49.778: [GC [PSYoungGen: 683744K->11968K(685312K)] 714916K->43204K(2083456K), 0.0306698 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
50.674: [GC [PSYoungGen: 683712K->10352K(685312K)] 714948K->41661K(2083456K), 0.0290560 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
52.248: [GC [PSYoungGen: 682216K->4944K(676864K)] 713525K->37822K(2075008K), 0.0125905 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
53.758: [GC [PSYoungGen: 676813K->4544K(682944K)] 709691K->38086K(2081088K), 0.0128361 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
