104.731: [GC [PSYoungGen: 174368K->64K(174528K)] 176505K->2201K(524096K), 0.0004709 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
105.408: [GC [PSYoungGen: 174400K->192K(174400K)] 176537K->2345K(523968K), 0.0005127 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
105.720: [GC [PSYoungGen: 174400K->64K(174464K)] 176553K->2281K(524032K), 0.0004376 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
106.022: [GC [PSYoungGen: 174272K->128K(174400K)] 176489K->2345K(523968K), 0.0005516 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
106.314: [GC [PSYoungGen: 174336K->32K(174464K)] 176553K->2249K(524032K), 0.0004505 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
106.587: [GC [PSYoungGen: 174240K->128K(174400K)] 176457K->2345K(523968K), 0.0004854 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
106.872: [GC [PSYoungGen: 174336K->160K(174464K)] 176553K->2377K(524032K), 0.0004662 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.154: [GC [PSYoungGen: 174368K->64K(174464K)] 176585K->2281K(524032K), 0.0004787 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.443: [GC [PSYoungGen: 174272K->64K(174464K)] 176489K->2281K(524032K), 0.0004783 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.766: [GC [PSYoungGen: 174272K->64K(174528K)] 176489K->2281K(524096K), 0.0006639 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.072: [GC [PSYoungGen: 174336K->160K(174464K)] 176553K->2377K(524032K), 0.0004412 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.369: [GC [PSYoungGen: 174432K->96K(174464K)] 176649K->2313K(524032K), 0.0005084 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.659: [GC [PSYoungGen: 174304K->128K(174464K)] 176521K->2345K(524032K), 0.0004889 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.953: [GC [PSYoungGen: 174336K->160K(174464K)] 176553K->2377K(524032K), 0.0004666 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109.261: [GC [PSYoungGen: 174368K->128K(174464K)] 176585K->2345K(524032K), 0.0004215 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
109.563: [GC [PSYoungGen: 174336K->128K(174464K)] 176553K->2345K(524032K), 0.0004440 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109.842: [GC [PSYoungGen: 174336K->128K(174464K)] 176553K->2345K(524032K), 0.0004798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
110.137: [GC [PSYoungGen: 174336K->32K(174464K)] 176553K->2249K(524032K), 0.0007177 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
110.423: [GC [PSYoungGen: 174240K->64K(174464K)] 176457K->2281K(524032K), 0.0005424 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
110.713: [GC [PSYoungGen: 174272K->128K(174464K)] 176489K->2345K(524032K), 0.0005017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
111.016: [GC [PSYoungGen: 174336K->128K(174464K)] 176553K->2345K(524032K), 0.0004413 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
111.297: [GC [PSYoungGen: 174336K->128K(174464K)] 176553K->2345K(524032K), 0.0004482 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
111.588: [GC [PSYoungGen: 174336K->96K(174464K)] 176553K->2313K(524032K), 0.0006962 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
